Exercise,BodyPart,Experience,Projectible,RepTime,Day,SetTime(avg.),Reps,Sets,MaxWeightSet,CurrentPR,CurrPRDate,GoalPR,ProjPR,Gender,Weight(lbs),Height(in),Age,Salt,Username,Password
Banded Bench Press,Chest,Expert,Yes,2.047,1,16.376,8,3,105,125,3/12/2023,140,131.25,Male,197.9,69.1,20,rF1U7CZxt0muV8Jshs7HvwjEPlwA0Nid ,seaMarshallCaptain22,R@nd0lp#M@c0Ncp$t0n3
Cable Crossover Fly,Chest,Moderate,No,3.473,0,0,0,0,0,0,0,0,0,Male,197.9,69.1,20,rF1U7CZxt0muV8Jshs7HvwjEPlwA0Nid ,seaMarshallCaptain22,R@nd0lp#M@c0Ncp$t0n3
Cable Fly,Chest,Beginner,No,3.23,0,0,0,0,0,0,0,0,0,Male,197.9,69.1,20,rF1U7CZxt0muV8Jshs7HvwjEPlwA0Nid ,seaMarshallCaptain22,R@nd0lp#M@c0Ncp$t0n3
Decline Bench Press,Chest,Moderate,No,2.99,0,0,0,0,0,0,0,0,0,Male,197.9,69.1,20,rF1U7CZxt0muV8Jshs7HvwjEPlwA0Nid ,seaMarshallCaptain22,R@nd0lp#M@c0Ncp$t0n3
Dumbbell Chest Fly,Chest,Beginner,No,2.683,0,0,0,0,0,0,0,0,0,Male,197.9,69.1,20,rF1U7CZxt0muV8Jshs7HvwjEPlwA0Nid ,seaMarshallCaptain22,R@nd0lp#M@c0Ncp$t0n3
Flat Barbell Bench Press,Chest,Beginner,Yes,2.21,1,17.68,8,3,185,200,3/12/2023,300,231.25,Male,197.9,69.1,20,rF1U7CZxt0muV8Jshs7HvwjEPlwA0Nid ,seaMarshallCaptain22,R@nd0lp#M@c0Ncp$t0n3
Flat Dumbbell Bench Press,Chest,Beginner,Yes,1.76,1,14.08,8,3,55,65,3/12/2023,70,68.75,Male,197.9,69.1,20,rF1U7CZxt0muV8Jshs7HvwjEPlwA0Nid ,seaMarshallCaptain22,R@nd0lp#M@c0Ncp$t0n3
Footless Flat Bench Press,Chest,Expert,Yes,2.347,1,18.776,8,3,135,165,3/12/2023,175,168.75,Male,197.9,69.1,20,rF1U7CZxt0muV8Jshs7HvwjEPlwA0Nid ,seaMarshallCaptain22,R@nd0lp#M@c0Ncp$t0n3
Incline Barbell Bench Press,Chest,Moderate,Yes,2.447,1,19.576,8,3,155,180,3/12/2023,190,193.75,Male,197.9,69.1,20,rF1U7CZxt0muV8Jshs7HvwjEPlwA0Nid ,seaMarshallCaptain22,R@nd0lp#M@c0Ncp$t0n3
Incline Dumbbell Bench Press,Chest,Beginner,Yes,1.95,1,15.6,8,3,50,60,3/12/2023,65,62.5,Male,197.9,69.1,20,rF1U7CZxt0muV8Jshs7HvwjEPlwA0Nid ,seaMarshallCaptain22,R@nd0lp#M@c0Ncp$t0n3
